fecha,canal,volumen,aperturas,clics,respuestas,conversaciones,reuniones,notas
2026-09-09,email-frio,86,19,0,0,,,deposito sin empezar: 0
2026-09-09,whatsapp,1,,,1,2,,
2026-09-09,voz,0,,,,0,0,sin contar pruebas
2026-09-09,linkedin,0,,,0,,,
2026-09-09,radiografia,1,,,,,,tag diagnostico-completo (Landing)
2026-09-09,web-blog,,,,,,,pendiente de que Landing publique web-diario.csv
2026-09-10,email-frio,102,15,0,0,,,deposito sin empezar: 8
2026-09-10,whatsapp,0,,,0,0,,
2026-09-10,voz,22,,,,12,0,sin contar pruebas
2026-09-10,linkedin,0,,,0,,,
2026-09-10,radiografia,0,,,,,,tag diagnostico-completo (Landing)
2026-09-10,web-blog,,,,,,,pendiente de que Landing publique web-diario.csv
